source,target,weight_1,weight_2,weight_3,weight_4
377,188,10,4,10,7
377,59,9,10,1,3
188,188,1,2,4,1
188,188,3,6,10,7
59,59,7,5,8,8
59,24,1,8,5,1
377,201,6,4,7,8
188,188,1,4,10,6
24,157,6,5,5,8
188,408,10,1,9,1
377,30,4,2,7,5
59,479,9,4,6,3
188,188,2,2,9,5
408,60,3,4,10,5
188,382,3,6,1,10
188,495,8,8,1,7
188,85,9,8,10,8
59,59,10,3,3,7
188,466,1,6,5,4
188,386,6,3,7,6
188,273,5,3,1,1
188,188,8,3,4,2
188,188,9,2,3,3
188,231,10,7,4,4
188,188,5,10,7,4
85,85,5,7,2,6
188,188,9,7,3,8
188,379,7,3,3,3
85,366,10,10,3,4
188,188,3,6,3,5
379,404,8,4,10,8
201,275,6,5,5,1
188,291,6,10,2,5
231,313,9,2,3,1
85,106,1,6,2,7
291,291,6,1,3,10
188,188,2,1,3,7
30,418,7,10,4,10
188,370,4,8,3,8
188,181,3,1,8,4
188,188,10,10,9,6
188,188,8,1,4,5
188,487,6,1,4,10
188,170,2,2,5,10
188,493,7,1,6,4
366,232,8,9,7,4
479,479,7,8,5,3
466,108,2,4,7,5
188,280,4,7,8,9
85,85,4,5,2,6
291,459,3,1,5,10
291,153,9,9,2,9
106,212,5,8,2,9
157,167,9,4,7,6
188,183,3,6,9,4
459,326,9,1,2,4
188,10,3,9,9,8
188,188,1,8,5,3
188,188,10,9,5,1
188,409,2,4,3,8
181,266,8,1,8,8
188,362,1,4,8,10
85,214,9,8,4,8
479,332,10,3,7,5
377,31,2,8,1,5
266,191,4,4,8,9
273,273,7,1,10,2
188,251,5,4,4,3
188,186,8,7,10,5
188,75,4,9,7,2
291,490,4,5,6,9
188,398,1,8,2,10
266,266,10,1,4,5
188,440,7,9,8,3
188,414,7,9,5,10
398,398,8,7,5,8
188,284,4,2,8,9
188,188,1,5,3,10
201,9,3,3,8,5
188,336,7,1,4,6
201,201,5,7,9,2
377,385,7,4,2,5
188,406,2,7,7,9
24,234,2,2,6,1
85,23,1,3,9,2
188,343,6,5,1,9
59,277,7,4,6,8
188,145,5,4,1,9
30,364,6,3,3,6
108,108,9,6,2,2
188,188,9,1,4,9
9,72,9,3,7,3
313,461,1,9,2,1
398,143,10,3,1,6
382,445,2,2,2,7
188,134,3,9,2,4
291,163,2,4,3,5
188,305,10,9,10,10
9,492,8,10,1,8
188,80,7,5,3,6
280,476,1,3,7,1
461,37,10,8,3,6
188,42,7,4,2,4
377,176,10,1,3,6
59,59,10,10,9,2
188,410,8,8,5,6
188,39,3,7,2,2
188,188,4,2,1,2
59,451,6,2,6,6
85,349,8,5,3,10
188,56,5,1,7,1
366,432,5,8,4,5
24,245,7,10,7,6
377,377,9,1,9,9
386,386,3,4,3,4
386,25,7,9,7,3
440,100,8,2,5,7
201,201,10,10,2,7
490,455,4,7,2,10
349,349,10,6,7,4
188,28,3,3,1,5
188,396,1,6,9,4
188,188,6,1,5,3
490,264,2,8,6,7
134,405,10,10,2,6
188,297,9,4,2,6
85,85,7,3,2,10
59,59,6,6,8,1
366,19,1,5,8,5
59,354,5,5,5,4
280,104,2,5,1,6
145,145,5,2,7,7
188,380,5,8,8,8
201,140,1,7,4,3
461,399,6,9,5,8
266,266,3,7,2,5
493,493,10,10,4,5
201,201,8,10,2,1
108,469,2,1,8,2
398,398,3,10,8,10
188,188,3,6,1,7
266,266,1,8,2,5
188,169,8,9,9,2
37,37,2,7,10,8
85,85,7,10,6,5
188,237,3,7,7,8
291,483,6,1,2,1
366,197,4,7,3,7
275,17,3,6,6,1
291,218,4,9,6,7
188,188,2,3,8,9
85,444,4,8,3,5
23,439,8,3,5,8
188,359,2,1,3,8
326,326,10,5,6,8
493,299,9,5,6,6
59,381,10,8,7,9
188,188,6,1,4,7
366,366,7,5,7,1
104,154,8,2,2,9
487,355,4,2,5,5
461,461,3,9,7,10
343,347,3,8,10,6
188,321,3,6,8,4
188,15,7,7,1,1
410,83,10,6,6,4
359,359,10,10,9,8
386,35,10,5,1,5
85,161,2,6,8,5
326,326,2,8,10,8
408,392,3,4,7,10
377,377,2,2,2,3
326,330,6,9,10,4
188,316,2,2,8,2
214,214,6,10,10,10
188,54,1,10,8,3
377,345,8,7,4,8
188,188,3,3,10,8
326,116,4,8,2,8
188,441,6,9,7,2
377,377,1,9,9,3
197,374,1,1,10,3
154,105,7,5,9,4
85,460,6,9,10,10
188,62,1,8,4,6
56,219,9,5,1,7
291,103,6,10,1,6
264,127,4,8,6,6
406,304,9,6,7,9
305,138,5,9,4,3
134,160,8,5,2,7
188,199,2,4,2,2
59,99,2,2,3,8
188,188,6,1,2,5
188,279,3,7,7,3
85,352,8,10,4,4
188,95,8,3,6,4
59,152,9,2,2,6
487,487,8,4,7,10
59,224,10,5,7,5
188,68,2,1,5,10
42,42,8,1,4,1
377,377,3,1,3,10
273,273,3,7,3,8
214,111,3,1,7,9
326,326,6,7,9,5
445,445,3,3,5,10
188,115,4,10,4,6
188,188,1,3,8,9
188,344,5,5,9,8
280,280,1,10,6,1
398,339,8,3,5,6
377,377,2,6,10,9
188,478,8,2,7,7
377,213,5,7,6,4
359,359,1,7,2,1
188,188,10,8,4,7
59,59,10,5,6,1
264,473,10,4,9,9
188,12,3,9,2,8
291,123,8,2,2,5
377,320,3,10,10,6
188,428,1,5,7,9
188,491,6,2,3,2
466,466,3,5,7,8
188,188,2,3,4,7
466,422,6,6,7,10
188,14,3,1,2,6
188,467,3,3,3,5
59,262,7,10,4,4
459,459,10,6,4,4
459,459,1,3,8,2
382,382,9,9,3,1
326,326,7,2,5,10
188,188,2,3,8,5
366,1,9,10,7,4
188,74,4,1,9,1
37,480,9,6,1,7
273,265,2,9,3,2
188,188,10,4,2,2
188,267,9,2,5,5
214,435,8,6,2,5
188,226,7,5,1,8
188,188,7,6,5,5
188,188,8,6,10,4
291,291,5,3,5,3
188,188,5,6,10,3
188,289,7,5,1,8
377,377,5,1,8,2
188,188,5,1,3,10
188,188,8,7,1,9
366,148,3,4,4,8
377,144,9,5,6,2
188,188,9,5,7,8
39,303,1,1,4,4
352,352,4,5,6,4
386,499,4,2,4,10
24,24,5,3,7,3
377,179,1,6,5,6
59,350,4,7,7,2
188,188,6,7,7,8
188,257,5,7,10,3
85,425,1,4,1,10
157,157,8,3,10,1
435,419,10,3,2,9
188,223,4,8,6,2
377,87,10,4,4,10
385,207,7,4,5,7
104,437,5,7,6,8
188,64,7,2,4,10
188,188,4,9,4,7
188,188,9,6,10,1
108,108,6,9,8,6
85,376,10,1,10,10
188,102,2,5,9,5
251,71,7,1,1,6
188,298,1,5,5,8
366,366,7,4,9,2
490,274,10,2,9,5
153,84,3,5,2,7
451,133,2,3,7,3
188,222,4,10,4,6
377,81,5,7,5,1
188,92,2,1,5,2
461,461,7,4,5,6
188,391,8,9,2,6
188,18,5,1,3,8
188,340,4,9,7,3
343,198,1,9,1,7
487,454,6,3,6,1
313,313,8,7,9,5
116,210,1,9,8,2
157,157,4,5,2,2
214,415,10,5,6,8
435,435,1,9,3,8
106,233,9,3,9,6
214,61,8,7,8,5
490,490,5,9,9,2
188,200,8,9,8,2
188,188,7,8,10,5
392,283,10,7,4,8
377,377,2,4,4,10
188,188,10,5,3,2
354,124,10,8,5,9
85,468,6,10,10,2
56,56,9,10,8,4
480,317,9,1,4,2
59,155,6,9,4,4
188,76,1,7,4,9
59,136,3,9,5,2
479,479,4,1,5,1
291,254,8,6,7,1
108,263,8,7,4,5
303,22,4,2,1,7
85,486,8,5,4,8
214,315,2,6,2,8
490,490,6,5,2,2
437,437,2,9,3,2
237,69,9,2,5,6
24,24,2,7,10,9
406,406,8,3,5,5
451,236,8,8,4,9
490,462,8,7,4,4
490,490,7,5,2,1
188,351,10,10,1,2
188,45,10,2,7,4
188,328,4,6,8,7
188,149,7,4,9,6
188,475,2,10,8,9
385,385,7,7,7,7
377,192,8,2,1,3
283,283,8,1,10,10
188,188,6,3,10,3
188,188,5,10,8,4
17,94,6,2,7,7
408,360,1,6,2,5
490,490,5,7,2,3
479,479,9,9,9,8
398,398,10,2,1,8
200,338,2,6,5,4
85,402,9,7,10,1
157,157,10,8,1,1
366,206,8,7,1,6
188,147,8,5,6,8
188,49,3,8,2,1
251,378,5,7,8,1
188,29,8,10,6,10
398,89,10,8,6,3
39,346,1,9,1,3
188,246,7,9,5,8
