source,target,weight_1,weight_2,weight_3,weight_4
5472,1416,2,5,4,6
1416,6584,1,10,1,6
1416,6283,10,2,7,5
1416,1416,2,5,4,3
1416,5441,6,6,10,8
1416,755,4,8,10,6
6283,6283,2,2,3,3
1416,1416,10,4,7,6
6283,6283,1,1,6,5
1416,8759,5,10,6,2
6283,6283,9,2,5,5
6283,9197,6,4,4,2
5441,5548,1,4,6,2
1416,4827,6,7,5,6
5441,7156,5,3,3,5
6283,1684,1,5,7,7
1684,1457,4,6,3,5
6283,5190,9,9,5,4
5548,7151,3,2,5,6
6283,690,5,10,3,10
1416,9276,1,10,10,9
9197,8020,3,1,2,10
6283,4803,7,10,5,7
6283,7560,7,4,6,6
5441,9108,3,8,2,4
1684,9638,6,10,7,9
1416,7893,2,8,9,5
9197,9197,6,6,6,5
6283,6283,7,7,10,2
5548,7640,4,9,10,1
6283,4556,3,6,3,4
1684,1684,4,8,10,9
1416,7112,8,4,8,4
8759,8759,2,7,8,5
6283,6878,3,7,5,1
9197,9045,8,9,5,9
9197,6214,1,10,3,4
6283,9515,7,1,1,7
5441,3337,2,8,10,5
9197,9197,3,5,6,5
9197,2627,7,3,10,7
1416,6847,1,10,6,4
5548,5548,2,9,2,9
1416,9908,10,2,5,8
1684,1684,10,10,4,6
6283,9820,5,2,10,9
1684,3190,4,5,4,9
6283,6283,8,9,10,2
9197,1982,3,1,9,10
5548,3280,7,6,1,3
1416,8219,8,6,5,4
5441,5931,6,3,5,7
6283,1388,6,5,2,4
6847,9007,7,4,10,3
9515,9515,2,7,5,5
3337,2827,6,7,5,2
1416,103,2,3,6,10
9515,9515,8,6,6,6
3190,3253,5,9,2,6
9197,9197,7,4,7,3
5548,6410,1,10,8,4
9197,6482,6,3,2,10
1388,1388,2,3,3,1
6584,8313,1,7,8,4
3337,2898,9,10,3,1
4827,4827,3,8,6,10
1416,4300,7,2,2,1
1388,8810,1,2,1,5
1388,1097,7,7,5,8
6283,9011,9,8,5,6
6283,5495,9,8,2,10
1416,2220,4,9,9,8
9197,2400,7,6,5,6
1416,9400,1,10,6,1
6283,7539,1,5,10,1
6283,6987,9,7,9,7
3253,3253,9,4,6,3
1416,9833,8,4,3,5
1416,169,1,9,9,1
9197,6643,9,4,4,6
1416,5476,7,10,7,5
4556,4556,1,3,7,7
4803,4803,7,7,7,8
7112,7112,8,10,10,9
9515,9515,8,5,9,3
4827,4827,4,3,1,7
6283,8549,7,7,3,1
6410,6410,7,8,10,1
1457,2387,8,10,6,6
6283,7618,2,5,6,1
8759,1989,10,8,5,1
3190,3190,7,7,3,5
8759,8411,5,8,1,7
2898,6930,1,4,9,2
8810,7987,6,4,3,1
9276,1731,5,5,5,10
8759,8813,5,9,4,3
1731,3351,5,8,7,10
3351,9296,6,10,1,3
6283,6283,3,6,1,4
4300,3500,5,4,4,8
6283,1957,1,10,9,10
9197,4885,10,9,5,2
9820,2800,1,4,3,3
5441,5441,4,6,5,1
5548,7967,1,9,10,5
6214,9164,3,4,5,1
1416,1416,10,8,2,10
1416,1416,4,4,5,4
1416,2600,3,10,5,2
5548,9385,5,7,3,4
1416,1416,9,10,7,7
9197,1854,3,5,2,4
1854,5687,1,6,5,1
4827,5247,2,2,4,8
6283,2451,3,1,7,4
2600,2600,1,2,5,5
1416,1277,5,3,1,5
4300,4300,3,2,5,3
5247,2697,7,7,7,1
9108,8285,4,4,9,7
5548,7647,3,2,7,3
1416,5756,7,4,6,3
9515,8388,1,6,7,5
8549,9560,4,4,3,4
9515,9515,8,4,9,4
6283,9120,7,1,10,8
7112,3920,7,7,8,8
3920,2571,4,1,3,5
9197,7580,2,2,9,6
1416,1416,6,8,9,5
4827,4827,7,10,6,8
5441,9659,4,8,6,2
9833,2891,4,4,4,5
6847,2114,3,9,9,2
4827,2625,7,1,6,10
9197,286,4,2,10,2
9560,6177,5,9,2,4
1416,1416,6,2,8,8
1416,8926,9,9,3,3
9560,51,8,4,6,9
9385,4814,1,9,7,8
9197,1034,2,4,3,10
2451,2451,8,6,2,8
6283,151,8,1,10,10
9197,1231,7,9,4,7
2387,1938,6,5,8,7
5247,9067,10,10,5,4
1684,8520,4,3,7,10
2387,5507,5,2,5,10
4556,3181,9,4,8,9
8759,8759,9,6,8,7
1416,1416,7,2,6,3
5441,5441,3,3,1,2
4556,4556,1,6,8,8
1388,3879,3,5,7,10
5548,9748,8,9,7,3
1416,1416,4,1,10,1
2451,8283,6,10,7,7
9515,9515,8,6,4,10
9108,3079,7,6,8,1
1416,1416,2,6,9,7
4300,5466,7,2,10,2
8020,3203,5,5,7,8
8759,4609,5,8,6,6
9011,4348,2,7,10,1
9011,6827,1,7,10,2
4827,2459,4,8,7,10
7967,1374,2,8,9,10
4827,4003,10,4,2,1
8520,8520,2,8,5,3
9400,2482,2,8,4,5
4814,5942,1,8,5,9
690,5272,7,9,7,6
6584,6584,10,6,8,7
4827,4827,4,8,8,6
2627,9303,4,9,8,3
8759,4009,4,2,2,4
1416,1416,6,6,6,9
5476,5476,4,10,10,5
4300,6464,1,10,7,3
8313,8313,5,2,1,9
6283,6283,4,1,3,8
8759,6393,2,10,5,8
5247,4491,6,10,3,10
2625,5428,2,4,1,5
9515,9515,9,3,3,6
6283,6283,9,10,9,4
8520,1184,10,1,3,7
8313,7244,5,7,6,3
6283,6283,5,6,9,9
1416,5467,6,9,3,6
9108,5879,9,6,5,8
2451,4463,3,8,7,10
9045,8415,2,2,3,1
6482,774,4,3,5,5
7580,505,6,7,9,1
5247,8028,7,6,10,8
9120,6405,7,6,2,8
9303,9860,8,4,5,10
8020,7802,4,2,9,10
51,3298,3,3,4,1
8415,2085,9,6,5,10
1416,1416,9,6,5,6
9560,6104,6,8,4,6
9197,9197,3,5,10,3
9197,9646,6,3,9,1
8411,4397,4,2,10,8
1416,7300,7,2,3,7
5441,8886,1,9,8,9
690,8092,3,9,7,1
7112,9102,1,9,1,3
6464,6464,8,1,3,6
2898,2898,2,6,3,3
1457,1248,2,6,10,2
2898,158,8,7,8,4
6584,6584,8,7,5,9
2697,2697,6,8,3,4
9860,6625,8,1,3,3
6405,6613,10,9,3,8
1184,1689,7,5,3,8
4300,4300,2,2,10,6
9197,3028,8,1,7,7
6405,6405,1,7,2,1
1416,1416,9,4,1,7
5548,7496,10,8,7,3
3028,9236,3,1,5,2
6584,6584,10,3,4,5
3028,3342,2,4,5,3
5548,5548,4,10,9,6
9011,7268,8,6,8,1
6283,4736,1,9,3,2
5441,655,10,1,1,9
5441,4110,9,7,8,4
1416,996,4,10,5,3
3337,3337,3,7,4,10
5441,5441,8,3,6,1
2627,6600,8,10,6,5
9820,3011,7,2,5,5
9197,7795,3,9,4,6
4827,7866,6,9,3,7
9045,4670,7,2,5,8
4814,4814,1,6,9,4
7795,4733,8,1,2,9
8759,8022,10,9,7,7
5548,8967,1,4,1,8
2898,2898,5,10,9,8
6283,7482,7,7,3,2
9120,9120,5,7,10,5
4556,2705,2,6,3,6
4556,3022,7,1,5,8
8810,8810,6,3,10,10
5548,5548,4,2,6,1
9108,9108,10,6,5,10
1989,1989,10,4,7,10
6283,6248,2,1,7,8
5272,5272,7,10,2,4
4827,4827,9,6,7,10
4827,4827,10,9,5,2
8388,2259,10,8,1,7
6464,6213,6,2,1,8
5441,6539,6,7,3,7
9638,5767,4,5,4,6
8549,8549,9,6,3,10
9400,9161,3,1,1,6
1416,1416,4,4,5,1
6410,6460,4,3,5,9
1416,1416,1,1,3,10
8313,771,7,8,2,9
4885,4885,1,4,8,4
6283,6729,4,4,7,10
9303,7602,2,5,6,10
6283,5566,4,1,4,3
6283,4593,8,10,3,6
996,4124,9,3,4,10
9638,9638,10,7,5,6
9102,6443,3,2,2,1
6443,699,5,2,8,1
1416,1416,7,9,6,9
5441,8691,1,1,3,2
5548,5548,4,4,9,6
4814,3492,7,10,1,10
6213,5897,3,5,7,2
4827,4774,8,3,1,2
5247,3965,1,1,8,9
1416,1416,7,4,7,4
9515,4441,7,10,4,7
9197,9205,2,5,2,4
6482,860,9,2,4,6
7618,7618,2,1,2,7
1457,1457,2,2,9,9
7112,3379,9,6,10,1
1689,6455,4,7,2,4
3920,3920,1,6,5,4
690,8096,6,4,5,8
4827,4827,5,1,1,6
3203,2315,5,2,10,6
2627,9679,8,9,7,8
699,313,10,4,5,7
4491,415,10,7,7,10
2627,4434,2,8,6,4
6283,4262,7,3,4,8
9197,6001,2,10,2,8
8313,9000,10,6,6,2
8759,8093,4,3,3,10
4827,4827,5,10,9,1
6405,6405,3,1,10,6
4110,4110,8,2,2,1
8810,536,6,4,8,5
4803,4803,8,2,3,7
1388,1159,7,7,2,10
6283,8957,8,3,10,4
2400,2400,7,9,4,5
4814,4814,1,9,3,10
1416,4888,3,1,4,9
8810,8810,2,7,2,7
5441,9987,3,5,1,5
6283,6779,6,3,10,6
5548,9755,4,8,3,2
1457,4987,2,9,6,4
2400,8650,2,10,3,3
6600,4443,3,8,7,9
8759,6257,9,7,5,2
1684,1684,8,9,9,1
5247,3254,10,7,9,2
8810,5310,8,2,9,10
6213,7905,2,7,10,4
7268,5642,9,9,9,6
9197,5532,10,3,2,2
169,9574,4,9,1,6
1416,7988,3,1,7,2
5441,2585,6,9,2,3
4593,6271,5,2,1,5
6283,4276,10,3,6,5
860,1937,5,1,6,4
5897,7955,5,4,8,3
6460,8548,4,6,3,1
3500,3406,9,7,7,9
1416,1416,9,3,9,6
5310,5310,7,7,10,10
2898,5358,8,9,6,1
6827,6566,7,8,3,1
9515,6542,5,5,4,5
6283,6132,8,2,7,5
7112,7175,2,1,3,3
1416,9238,2,3,3,10
3181,9355,6,8,6,1
4441,6189,3,2,10,7
9197,9197,2,9,2,5
4300,9738,8,5,10,9
505,5546,4,4,6,3
6283,6283,9,3,10,5
1277,6145,9,3,1,3
4300,2955,6,5,3,3
9108,9108,3,7,4,7
3920,2529,8,10,4,10
4441,560,9,6,9,2
6405,4642,10,5,10,9
1684,9013,2,9,1,10
1388,1941,6,3,6,3
8957,2617,5,3,8,3
505,432,2,10,10,7
5767,6361,5,4,5,8
9197,6703,8,4,1,10
6283,6283,10,6,8,1
2898,2898,1,1,1,10
5441,245,6,7,9,6
4827,9697,1,3,5,4
5441,6101,8,8,10,9
5247,5247,1,2,8,1
2315,9956,3,4,8,9
4556,1243,5,8,10,1
1416,7234,2,7,10,6
1277,1277,2,3,9,1
6283,1318,1,1,7,7
1388,9106,1,2,6,6
1854,1854,6,9,10,10
9515,9515,2,3,9,10
4556,6240,7,9,4,3
9515,4308,1,4,4,2
1989,1989,4,10,3,8
1416,5435,9,2,3,10
6283,5235,10,3,6,3
1941,3877,10,2,4,7
3190,5470,3,5,9,6
7560,331,9,6,8,2
8096,7339,8,4,2,10
9515,7727,6,7,9,2
8549,8549,4,10,5,6
7560,1644,5,2,6,10
4736,2097,4,3,6,2
6283,5580,5,2,8,6
1416,2073,6,3,5,3
5441,5441,10,10,3,5
4827,4827,4,2,1,3
4827,7394,6,6,7,10
9067,4743,10,3,6,8
9197,4279,8,5,6,7
9197,9197,9,3,10,7
505,9163,8,8,3,4
9163,9163,2,2,3,2
3028,1421,2,3,6,10
9515,9515,7,1,3,3
5441,2817,10,8,6,1
8810,8810,9,1,8,4
6625,2035,5,10,4,8
4300,8940,3,6,2,4
8313,8313,7,2,2,9
5310,9538,3,6,1,9
8415,8282,1,9,6,3
8650,8650,7,4,2,3
9197,9197,5,7,5,4
9560,1328,9,2,6,6
6283,6283,3,5,9,10
9303,9303,2,8,5,9
6283,2069,6,9,6,10
5767,5767,3,4,3,2
5466,5466,7,9,2,10
2697,2697,10,9,6,1
4593,6608,6,10,7,7
9120,5448,4,9,9,1
7618,1570,7,7,4,2
9108,9878,2,1,10,5
9303,9303,3,5,8,2
7967,2569,6,6,9,1
3253,3418,4,3,4,4
8520,8520,6,7,5,8
690,2536,2,3,9,6
8810,3275,9,10,7,2
8650,7942,10,7,1,2
4441,853,1,6,7,5
9638,4423,10,9,4,5
2451,475,8,3,3,2
9197,9197,9,3,5,1
5272,7345,10,1,9,3
6283,6283,5,8,5,8
1854,2108,3,6,4,9
8415,283,2,6,10,9
9108,9108,10,7,2,9
6584,6584,2,2,6,9
