source,target,weight_1,weight_2,weight_3,weight_4
2,97,4,1,8,10
97,68,7,8,7,9
2,69,9,5,9,7
69,64,4,2,5,3
69,69,2,4,3,2
2,14,4,8,4,9
69,69,4,5,9,9
69,69,1,3,8,5
97,67,1,6,9,7
2,2,10,10,4,8
69,69,9,8,8,1
97,5,9,9,3,4
69,96,10,2,3,6
97,4,8,8,10,1
2,2,5,1,5,3
69,69,9,1,5,3
2,20,2,8,7,8
97,97,4,5,9,9
69,69,7,10,2,3
64,1,1,6,6,5
5,59,2,3,9,9
69,27,4,3,5,9
69,62,7,10,9,4
2,75,6,6,5,4
1,84,2,7,10,1
1,1,8,7,5,10
69,86,3,4,4,8
69,87,6,1,2,5
97,97,2,6,8,6
1,1,9,2,3,5
69,98,4,4,9,6
2,45,6,9,8,7
69,46,3,9,8,6
69,69,4,8,7,8
69,42,2,6,8,9
97,82,1,8,8,9
62,10,9,4,7,9
69,69,10,10,2,9
69,69,5,4,9,5
69,90,9,2,7,8
2,92,4,2,2,3
1,25,7,6,1,8
69,33,10,6,6,9
69,83,7,4,6,7
69,11,5,9,7,1
69,69,3,8,4,7
69,60,2,5,1,3
2,85,10,8,10,5
69,65,2,5,10,5
5,5,6,8,7,9
60,43,5,1,3,8
97,80,3,9,7,6
92,93,4,5,10,1
69,57,6,2,7,1
69,77,9,3,8,3
69,95,2,9,9,8
80,63,8,4,5,1
69,37,2,5,10,2
1,19,6,2,2,10
1,7,5,7,5,8
69,26,5,1,10,10
69,69,4,4,10,9
11,94,1,6,6,1
69,99,2,7,10,1
2,53,2,5,1,5
69,79,6,7,1,5
25,25,1,2,2,2
97,18,5,2,7,9
65,89,6,5,2,5
79,79,9,1,2,2
69,69,6,2,4,1
25,25,10,6,6,1
92,40,10,8,3,8
18,32,6,5,3,5
69,56,5,9,3,3
2,6,10,5,1,1
46,0,1,8,7,1
1,3,2,1,8,1
84,84,2,3,10,3
69,41,8,2,9,6
19,19,10,8,7,6
62,62,8,9,4,8
99,81,1,2,9,7
69,61,1,9,5,8
69,91,1,4,10,2
62,51,4,3,8,6
56,47,6,8,6,3
65,65,1,5,9,6
65,72,4,2,3,6
98,98,3,1,10,5
69,69,8,10,5,6
69,69,4,5,5,1
97,36,6,8,2,5
2,2,8,2,8,4
97,16,9,4,6,1
18,23,4,4,3,5
56,78,4,5,2,2
53,76,7,2,7,2
18,39,4,8,2,3
79,29,10,7,5,10
97,13,5,1,8,2
45,45,4,2,8,8
5,5,8,9,4,7
99,99,3,5,5,10
92,92,7,4,8,9
2,50,4,5,10,4
69,55,6,3,9,3
92,92,9,8,1,8
69,69,1,6,3,6
10,10,7,3,6,9
69,52,8,5,6,4
69,66,1,6,1,2
33,33,2,2,7,1
97,97,5,4,4,8
45,30,3,6,7,7
69,17,5,5,8,8
60,12,4,7,5,4
1,8,9,10,6,7
92,49,5,6,1,7
1,1,4,7,10,4
91,91,10,6,8,3
19,48,6,5,1,1
49,15,4,8,5,3
1,1,1,9,10,4
69,35,3,7,4,5
69,69,5,8,9,4
2,88,8,6,8,6
1,58,6,8,6,6
2,2,5,1,5,8
1,24,3,4,9,2
45,38,9,10,2,3
91,91,1,8,10,10
1,1,6,2,4,4
62,62,3,6,10,1
65,65,4,1,4,9
62,70,6,10,3,8
27,28,3,10,4,8
97,74,7,7,3,8
97,31,3,10,10,9
2,44,1,3,7,10
13,9,9,2,1,9
99,73,4,7,3,2
2,71,9,1,7,9
49,21,6,1,5,8
57,34,10,5,7,1
65,54,6,2,6,2
27,22,1,9,4,5
