source,target,weight_1,weight_2
2,97,4,1
97,68,7,8
2,69,9,5
69,64,4,2
69,69,2,4
2,14,4,8
69,69,4,5
69,69,1,3
97,67,1,6
2,2,10,10
69,69,9,8
97,5,9,9
69,96,10,2
97,4,8,8
2,2,5,1
69,69,9,1
2,20,2,8
97,97,4,5
69,69,7,10
64,1,1,6
5,59,2,3
69,27,4,3
69,62,7,10
2,75,6,6
1,84,2,7
1,1,8,7
69,86,3,4
69,87,6,1
97,97,2,6
1,1,9,2
69,98,4,4
2,45,6,9
69,46,3,9
69,69,4,8
69,42,2,6
97,82,1,8
62,10,9,4
69,69,10,10
69,69,5,4
69,90,9,2
2,92,4,2
1,25,7,6
69,33,10,6
69,83,7,4
69,11,5,9
69,69,3,8
69,60,2,5
2,85,10,8
69,65,2,5
5,5,6,8
60,43,5,1
97,80,3,9
92,93,4,5
69,57,6,2
69,77,9,3
69,95,2,9
80,63,8,4
69,37,2,5
1,19,6,2
1,7,5,7
69,26,5,1
69,69,4,4
11,94,1,6
69,99,2,7
2,53,2,5
69,79,6,7
25,25,1,2
97,18,5,2
65,89,6,5
79,79,9,1
69,69,6,2
25,25,10,6
92,40,10,8
18,32,6,5
69,56,5,9
2,6,10,5
46,0,1,8
1,3,2,1
84,84,2,3
69,41,8,2
19,19,10,8
62,62,8,9
99,81,1,2
69,61,1,9
69,91,1,4
62,51,4,3
56,47,6,8
65,65,1,5
65,72,4,2
98,98,3,1
69,69,8,10
69,69,4,5
97,36,6,8
2,2,8,2
97,16,9,4
18,23,4,4
56,78,4,5
53,76,7,2
18,39,4,8
79,29,10,7
97,13,5,1
45,45,4,2
5,5,8,9
99,99,3,5
92,92,7,4
2,50,4,5
69,55,6,3
92,92,9,8
69,69,1,6
10,10,7,3
69,52,8,5
69,66,1,6
33,33,2,2
97,97,5,4
45,30,3,6
69,17,5,5
60,12,4,7
1,8,9,10
92,49,5,6
1,1,4,7
91,91,10,6
19,48,6,5
49,15,4,8
1,1,1,9
69,35,3,7
69,69,5,8
2,88,8,6
1,58,6,8
2,2,5,1
1,24,3,4
45,38,9,10
91,91,1,8
1,1,6,2
62,62,3,6
65,65,4,1
62,70,6,10
27,28,3,10
97,74,7,7
97,31,3,10
2,44,1,3
13,9,9,2
99,73,4,7
2,71,9,1
49,21,6,1
57,34,10,5
65,54,6,2
27,22,1,9
