source,target,weight_1,weight_2,weight_3,weight_4
757,10,8,2,4,3
10,289,2,7,6,10
10,10,6,8,3,10
10,35,8,6,9,7
35,35,10,4,2,1
35,35,8,7,10,4
10,10,2,1,8,2
35,261,3,1,1,3
10,597,5,10,5,1
35,799,6,1,6,9
10,630,8,9,5,2
10,344,2,4,2,4
35,35,1,4,3,6
597,681,1,6,8,1
35,920,5,6,10,10
35,35,3,9,5,1
289,901,5,9,9,7
10,10,10,5,9,9
597,495,2,9,7,5
10,10,10,3,5,1
35,342,1,3,8,5
10,10,7,6,4,6
10,200,6,8,2,3
10,156,4,2,7,3
344,604,9,3,6,1
289,796,5,8,5,7
200,123,1,4,5,2
10,18,7,7,5,5
344,59,8,2,1,7
344,675,4,2,10,5
18,18,7,1,2,6
495,339,2,5,4,2
35,86,8,9,3,4
10,10,8,1,8,5
59,3,10,2,1,8
495,244,10,2,5,1
35,81,3,8,7,7
35,35,4,2,6,10
10,770,2,1,2,9
35,876,8,3,3,2
10,657,2,6,10,5
10,718,10,9,2,10
81,427,6,9,4,7
342,37,5,10,5,7
86,86,3,9,10,10
35,101,4,10,4,4
770,770,6,6,3,3
261,989,1,8,10,1
10,262,7,2,5,9
289,289,3,5,9,8
989,958,6,4,4,10
18,193,4,1,3,3
289,926,5,9,1,2
10,449,7,7,1,6
10,179,5,4,7,8
10,188,3,10,10,7
289,756,4,6,6,5
10,10,7,3,2,6
289,289,10,1,8,9
10,16,8,4,5,2
10,596,3,8,6,5
10,977,1,7,6,6
18,115,2,3,4,2
188,965,9,5,3,1
188,583,10,2,9,2
261,937,6,10,8,2
10,10,7,3,8,4
604,367,3,6,3,6
10,143,2,2,7,10
193,265,1,9,3,5
86,86,6,8,6,10
10,575,1,2,10,8
35,755,5,3,2,10
10,880,9,3,9,6
115,115,10,9,10,8
289,250,1,8,10,1
35,363,5,6,1,8
796,734,3,3,7,5
10,377,3,3,8,2
188,7,4,3,1,3
200,232,2,4,7,9
289,370,7,5,4,5
86,485,5,4,6,3
876,99,2,10,8,9
156,649,9,7,8,1
449,568,2,4,8,2
770,472,9,10,4,1
675,644,9,1,7,9
10,10,6,4,5,2
977,957,10,10,8,1
10,194,6,6,7,6
10,109,3,10,4,7
734,734,3,9,5,6
681,681,8,1,9,9
35,35,4,9,5,8
604,516,5,3,4,5
10,10,2,8,4,5
472,472,5,1,5,8
35,68,6,3,8,6
37,37,10,8,6,2
957,659,1,10,10,3
188,188,7,4,7,4
10,264,4,10,4,7
370,215,10,6,5,6
10,979,3,4,4,10
10,387,5,2,6,6
965,458,7,6,6,2
965,599,9,10,6,6
99,99,3,6,2,8
10,166,10,2,1,6
675,152,6,5,7,6
344,344,7,2,1,7
770,135,10,2,2,7
289,289,6,8,9,6
289,289,9,6,3,5
250,574,3,5,2,3
604,185,1,10,7,6
449,529,4,3,5,10
289,289,9,5,3,1
200,31,7,9,3,9
529,319,1,5,3,1
86,125,5,4,10,10
649,982,9,5,9,8
35,869,7,10,9,7
597,751,5,6,5,9
10,10,7,8,7,3
957,819,3,8,5,5
86,86,9,6,4,7
597,597,6,8,6,2
344,963,1,2,7,6
644,436,10,9,4,5
675,137,9,3,10,7
289,289,10,9,10,3
10,431,2,4,4,7
10,445,9,3,2,8
344,344,6,8,7,6
597,378,6,8,4,6
436,451,8,7,6,4
10,541,6,3,1,9
920,920,8,3,8,4
799,648,7,3,10,3
289,835,5,8,8,10
344,52,8,7,4,2
289,277,7,1,4,8
604,604,9,3,7,2
597,716,9,3,6,2
86,141,7,3,5,9
734,452,5,5,7,7
289,289,4,8,2,5
342,680,6,4,5,1
86,324,2,1,5,3
495,495,1,9,5,5
876,876,8,6,4,10
10,539,8,2,6,8
319,291,9,8,10,9
965,41,5,3,4,8
261,861,6,9,10,6
926,926,1,7,10,5
