source,target,weight_1,weight_2,weight_3,weight_4
1049,2139,4,6,8,8
1049,4707,2,10,1,9
1049,4597,2,6,5,1
2139,2139,1,8,4,10
2139,3789,10,9,3,1
1049,1049,5,2,8,8
1049,4701,3,7,2,9
2139,4575,9,2,5,1
4707,4448,6,4,1,5
1049,2831,10,4,7,6
1049,1049,5,6,3,8
2139,3154,6,7,5,2
1049,1560,2,5,1,7
1049,2559,8,6,4,5
2139,801,9,4,5,8
2831,2831,4,9,10,2
4701,1871,1,1,10,5
1049,826,5,1,7,10
1871,4357,6,6,3,5
4448,1491,3,4,10,2
2139,1685,4,2,5,3
1049,1817,2,3,1,2
4448,4448,4,5,5,1
1049,4221,10,3,1,10
4357,4240,1,7,2,10
1049,4642,5,8,3,10
4642,4642,7,1,4,10
1049,242,7,8,8,6
801,1936,9,9,3,8
1049,1049,3,6,5,10
1491,1491,3,5,6,7
2559,17,6,3,9,9
1049,1049,9,10,3,10
1049,1520,4,5,4,8
801,941,9,2,9,2
1049,1049,7,2,3,10
4707,4707,4,3,3,9
1049,3555,5,8,10,10
242,906,6,10,3,10
4575,2289,1,6,4,5
1520,2690,6,1,7,6
4448,1824,7,4,9,8
2690,1279,2,3,7,2
2139,620,8,9,9,10
3789,3789,6,6,4,9
1049,1049,4,4,1,10
4642,389,8,5,3,4
1685,3693,2,5,5,8
2139,2139,4,5,10,7
3154,3154,3,5,10,7
1049,1049,7,6,2,5
4575,2302,3,2,9,6
4575,1807,3,2,5,4
2690,2690,2,2,7,10
1871,568,7,4,7,1
17,17,8,3,5,7
4597,4597,7,3,10,9
1049,54,2,4,10,1
4642,4642,1,9,5,9
1049,1049,10,8,3,9
826,826,9,7,1,4
4575,4097,3,2,5,7
2690,3204,4,5,3,4
4597,4225,5,5,2,1
4642,2431,4,10,3,8
1871,3140,10,6,6,2
1049,1049,8,2,3,10
4225,4225,1,3,9,2
1685,1685,2,10,5,4
4575,847,2,2,6,5
2139,2139,2,7,2,8
17,4292,3,3,1,3
2139,1060,7,9,5,2
4707,3062,9,7,10,7
3789,1709,10,5,4,5
4097,4216,9,10,10,4
4642,4642,1,10,4,1
1049,297,10,4,10,5
3140,3155,6,3,3,6
17,17,7,4,6,10
4707,2183,8,6,5,10
2139,4979,2,9,3,5
4597,223,4,6,7,7
2139,1125,1,6,10,4
906,3778,3,4,3,6
1049,1049,5,4,4,5
2559,4352,5,5,5,7
2690,2816,4,10,3,4
17,17,8,9,5,1
4642,4642,3,8,8,4
2139,1972,10,3,3,6
242,1412,10,1,10,7
1049,3111,1,9,6,2
3555,4589,4,2,7,2
1049,1192,1,3,10,1
4642,1478,4,9,10,2
4707,4707,6,5,2,10
2139,4609,4,10,3,3
1560,891,1,5,4,6
1049,1049,3,4,7,7
3789,3789,2,6,2,4
3555,3555,7,3,3,7
1871,724,3,1,10,4
1060,3293,7,1,5,5
4707,4707,4,1,1,1
2183,2194,6,5,4,5
2139,3027,1,5,8,1
1049,4592,7,5,2,5
3693,3693,8,1,8,5
3555,4895,9,9,6,8
1279,2809,3,7,5,7
1685,4042,1,6,8,1
3140,1684,10,3,4,4
1279,1279,6,8,9,9
4221,1282,1,6,2,5
17,4789,1,8,5,4
1685,1818,10,5,8,1
4642,2958,2,1,1,6
4575,4575,9,9,1,4
4575,434,7,4,7,10
1685,1685,3,10,1,6
3555,4907,4,6,1,2
620,1526,6,3,8,8
4707,2817,8,4,3,10
4701,4701,4,7,3,4
1972,1617,1,7,4,6
2139,4688,10,7,7,10
2139,2865,4,8,1,9
2139,2151,4,8,3,3
1049,4681,5,8,8,4
3789,491,1,5,1,9
4707,2875,1,2,4,4
906,3962,9,10,2,7
4707,4707,10,1,5,3
1049,1049,4,3,2,4
4642,4642,3,10,6,10
4642,3198,4,2,8,3
1685,4012,3,6,3,9
4707,2156,4,9,3,4
1049,2600,4,10,2,6
2559,2559,5,7,8,10
1560,3412,10,9,6,4
2139,3470,8,9,9,6
1049,4943,3,9,5,4
1049,1049,5,2,6,10
1049,3739,3,3,5,6
1871,4400,4,2,6,6
3789,3391,4,7,2,1
1526,2313,1,7,6,2
2139,4315,7,7,2,10
1049,1049,9,6,5,1
2289,2953,1,6,4,5
1049,749,3,1,8,5
2139,4790,5,9,5,6
4575,1958,2,2,9,8
1049,2583,7,3,4,8
4642,3784,6,8,6,2
4688,4688,8,10,3,9
1060,1060,10,2,3,8
2559,2559,5,4,6,9
3027,3550,3,10,6,9
1824,4245,10,1,7,6
1871,51,7,10,7,5
4448,3953,1,8,7,7
2953,331,10,8,6,1
4707,3366,8,7,9,5
620,2485,7,10,9,4
1685,1685,5,9,7,7
1049,2733,2,6,8,7
17,17,8,10,6,6
4642,4697,7,7,3,7
1049,4059,9,6,1,2
4097,3720,7,9,7,3
242,777,2,3,7,6
242,2515,7,9,1,8
4707,167,7,3,10,7
242,1765,8,2,7,6
17,2448,9,3,4,2
1685,1685,5,10,8,8
1936,4653,10,10,8,5
4697,3930,1,6,9,5
1685,1685,5,7,7,10
1049,2724,6,6,7,7
1049,1183,3,9,1,6
3555,3555,1,3,9,5
331,2999,9,4,2,5
2958,2958,5,5,8,8
1520,4915,1,8,6,2
826,4527,2,9,3,5
906,802,2,1,4,5
1685,4991,6,10,8,10
54,54,1,4,10,8
2953,2106,3,8,5,5
4448,853,1,7,5,10
1520,1520,1,5,5,3
1049,2702,5,5,10,7
3789,4314,9,9,3,7
1049,3211,10,10,1,7
4642,4927,8,9,4,10
1049,387,2,6,3,2
1049,734,8,1,1,2
4642,2083,4,4,5,2
1049,1049,10,1,2,6
1049,4178,9,9,4,1
1520,1178,5,4,5,9
4701,2579,2,9,10,3
4225,4225,10,5,7,10
1049,4936,2,8,1,10
1049,1049,8,9,5,10
2559,14,5,2,4,10
4357,4357,10,1,4,4
1049,504,7,5,3,7
4597,4851,1,5,10,4
4707,4707,9,10,7,10
4225,4093,6,8,9,4
3154,1085,6,9,6,10
4943,4943,1,9,1,10
4575,4575,10,5,2,10
847,1365,7,3,6,7
847,156,8,6,10,3
1049,1006,9,10,1,3
1049,1049,1,8,10,3
1871,629,2,6,4,10
4097,2319,8,5,6,4
1478,3233,10,8,5,9
3550,3550,3,7,10,7
1049,1049,8,4,8,8
4642,4084,10,6,1,10
1049,475,5,8,5,5
475,2851,4,8,3,7
1049,4920,2,4,2,5
1871,1871,5,8,8,10
2289,3730,6,7,7,3
1006,3324,5,9,4,7
1049,2230,6,5,6,8
906,2705,8,3,3,4
2289,4342,5,6,5,10
4707,4707,10,10,5,6
3233,2182,8,3,2,4
4697,2760,10,10,5,3
2289,2289,4,7,10,3
4642,3939,10,5,6,3
2139,2139,10,2,6,1
2431,3406,9,1,9,5
4597,3138,2,10,8,4
4597,2873,7,2,10,1
906,906,3,4,6,3
331,2236,3,3,9,8
3550,2255,1,6,5,8
4357,1915,10,8,8,5
2690,688,5,7,3,2
1049,2845,2,9,5,10
749,749,3,8,9,9
1685,1026,6,6,7,8
242,242,10,2,10,8
389,389,1,9,9,7
4943,830,10,6,5,8
1685,3910,2,6,9,3
4400,3453,6,4,6,6
17,17,4,2,3,6
4448,4448,3,2,6,7
4707,4707,1,6,9,8
620,1588,1,1,8,4
847,951,9,2,9,1
1049,2854,7,3,8,6
4216,3481,4,4,5,1
4575,3766,5,2,3,2
620,2385,5,3,7,7
2958,2958,4,4,8,7
17,1126,6,6,1,7
4527,868,2,2,5,2
4979,772,4,9,4,7
4575,1407,3,5,8,6
868,2858,2,5,10,9
3111,4053,2,8,10,3
1049,1626,8,10,9,4
1049,1049,7,5,2,10
1972,3697,2,1,3,10
1183,181,7,5,1,6
1685,1685,4,6,5,2
3693,3693,5,10,8,7
1049,1049,9,10,5,5
620,1401,2,5,4,1
620,2954,3,1,5,7
1049,1049,3,5,3,3
2139,4085,1,5,1,5
4589,1492,3,8,1,6
4575,4575,7,9,5,6
1685,1095,9,3,5,1
620,4431,5,2,3,2
1049,564,8,6,10,4
1049,208,5,2,7,5
2139,34,8,10,8,2
2733,1550,8,1,10,8
2583,562,10,9,2,3
3789,717,8,6,5,7
4642,2792,7,5,9,6
3406,3406,3,10,10,6
3140,846,3,5,4,4
2875,2824,5,7,9,9
1685,1685,4,3,4,7
3789,2198,3,6,9,10
2583,2250,1,2,10,7
4357,3241,10,4,9,3
3555,2692,2,7,6,10
1049,979,6,6,7,8
2139,1419,10,4,4,9
297,3068,6,1,1,4
1049,436,3,4,6,2
1049,4055,2,5,3,9
1049,1772,10,5,9,5
2953,2953,10,6,7,7
4357,1340,1,2,5,2
4448,4087,3,9,1,4
4979,4501,6,9,8,1
14,14,1,6,5,8
3470,4162,6,6,2,8
1871,1871,10,9,3,3
2106,3671,6,6,1,8
1049,496,2,9,3,1
777,777,1,3,6,5
906,906,10,2,5,6
847,3640,10,6,1,3
1520,4968,8,7,1,9
3453,3453,1,7,5,9
1049,2783,5,1,7,6
1049,4332,3,10,2,2
4400,4835,10,9,3,10
3550,908,3,4,4,4
1560,1877,7,5,3,9
17,3438,6,3,2,6
1936,343,7,9,7,2
2139,2139,3,6,8,2
2183,4399,6,10,9,10
951,3566,4,9,3,9
2156,2156,10,1,1,10
1049,1049,6,10,1,1
2817,259,5,10,10,8
4225,4225,10,2,8,1
3555,3555,4,5,2,8
2139,998,8,10,7,10
3453,3453,8,7,7,3
4707,1030,1,5,5,2
3784,263,10,6,8,10
3789,3789,7,3,3,9
2816,2816,2,8,6,2
4225,4924,9,4,3,10
1049,1553,8,2,7,2
1685,1685,9,4,10,10
2953,2953,3,2,8,9
2250,2250,7,1,8,3
4097,4097,8,3,5,2
3693,3986,8,3,2,4
1049,104,6,5,8,10
1049,2020,6,7,8,7
2783,2783,7,8,5,6
2515,2515,7,2,9,1
3233,3496,5,7,8,10
2865,4886,1,3,9,8
3697,3697,3,6,2,5
4653,4653,8,4,4,9
4642,4642,4,9,5,6
1049,2622,2,1,5,1
1049,4969,9,2,2,4
4575,4575,8,7,7,10
4575,4575,4,2,6,10
2139,2139,5,3,1,6
1192,3037,6,8,3,5
3739,4931,10,2,3,9
1049,5,3,6,3,2
1871,2067,5,9,3,7
1049,1766,2,10,1,7
2831,2831,5,2,10,4
1553,1553,6,4,5,9
4216,4216,5,2,6,8
4924,3049,8,9,4,3
3720,2839,7,4,3,2
2183,2183,5,10,2,9
1553,1553,9,8,9,5
2559,2559,2,7,7,8
491,2017,1,2,9,4
1049,4674,8,9,5,8
620,620,3,4,6,10
2183,4056,1,2,3,5
1520,4219,3,10,3,4
3550,1546,10,9,6,4
4400,320,7,5,6,1
1060,1060,2,1,10,1
3470,4821,10,1,8,3
4314,3497,2,5,7,4
2385,2385,8,1,7,8
1871,1871,1,1,6,3
17,17,2,7,4,2
1279,1279,10,4,2,4
2236,1425,7,3,1,3
1049,3146,4,6,2,4
