source,target,weight_1,weight_2
10,18,4,3
18,3,3,7
18,9,7,5
10,32,6,7
18,4,1,5
10,10,4,6
18,18,10,2
18,25,4,8
18,30,6,9
4,4,9,3
9,47,1,7
18,18,5,1
10,37,9,7
18,15,2,2
47,47,1,1
18,18,2,10
18,28,9,8
30,35,9,6
18,40,4,1
4,5,10,3
30,30,2,10
18,33,1,2
18,27,2,7
18,18,9,9
18,18,2,2
18,2,7,5
18,44,5,5
4,45,6,4
18,6,9,9
10,29,6,8
4,41,3,4
30,13,2,5
30,30,10,8
28,38,8,8
37,21,3,1
40,39,10,2
18,12,2,6
4,4,7,5
39,49,2,2
18,16,4,6
18,18,7,3
40,40,8,5
18,8,10,8
28,14,7,5
18,23,2,9
10,10,2,3
18,24,9,5
18,22,8,9
40,40,4,4
10,42,8,5
18,18,2,7
10,10,7,4
10,11,2,9
4,26,2,2
28,28,6,9
4,4,3,2
18,18,2,5
44,17,10,8
4,4,2,10
18,46,5,4
40,40,10,7
11,11,6,9
18,7,10,1
7,7,1,5
10,34,8,6
47,47,1,10
4,1,5,1
33,33,7,9
1,0,10,4
10,48,1,2
40,40,5,7
5,5,10,6
10,31,10,3
18,18,8,8
18,36,9,6
10,19,4,10
4,43,10,7
18,20,1,10
